District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Kategoria VR,Kategoria VPR,Kategoria VIR,Kategoria VIPR,Kategoria VIIR,Kategoria VIIPR,Kategoria VIIIR,Kategoria VIIIPR,R,PR
RYPIŃSKI,0.9880273818172771,0.0,0.0,0.0,0.0,0.0,1.9760547636345542,0.0,5.928164290903663,0.9880273818172771,14.820410727259157,0.0,37.545040509056534,0.0,697.5473315629977,40.50912265450836,758.8050292356688,41.497150036325635
WŁOCŁAWSKI,2.0,0.0,1.0,0.0,4.0,0.0,21.0,0.0,22.0,6.0,37.0,1.0,70.0,11.0,708.0,86.0,865.0,104.0
CHODZIESKI,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,14.0,0.0,23.0,1.0,25.0,1.0,414.0,18.0,484.0,20.0
CZARNKOWSKI,0.0,0.0,0.0,0.0,3.2115708139771045e-17,0.0,8.0,3.2115708139771045e-17,12.0,3.2115708139771045e-17,22.0,2.0,24.0,3.0,303.0,20.0,369.0,25.0
GNIEŹNIEŃSKI,1.0146365670931852,0.0,0.029817464800416006,0.0,1.0344980909426977,0.0,8.230452177579775,0.034770256250050875,24.394794465471577,0.019861523849842872,38.91623083678133,1.029545299493723,55.88052661217217,0.0,661.7881600944407,27.37042360384501,791.2891163092819,28.454600683438628
GOSTYŃSKI,1.0063786509640398,0.0,0.0,0.0,0.007922910144348715,0.0,2.26721748481211,0.004565454195472252,13.487962813949084,1.0120188340106524,21.929554778829697,0.026051457530782272,24.674058362059366,0.007922910144348715,413.14977489445266,13.717916145005086,476.52286989521133,14.768474800886343
JAROCIŃSKI,1.0,0.0,0.0,0.0,1.6596526156358131,0.0,10.97895784690744,0.8298263078179066,27.787742001632786,1.8298263078179065,48.59652615635813,1.8298263078179065,39.2772209250865,3.8298263078179065,527.4757826401276,28.4473946172686,656.7758821857483,36.76669984854023
KĘPIŃSKI,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,3.0,0.0,28.0,2.0,38.0,3.0,48.0,3.9999999999999996,600.0,26.0,718.0,35.0
KOŚCIAŃSKI,0.9299741381886915,0.0,0.0,0.0,1.004256916887615,0.0,8.819720832779378,0.0,13.486619191273295,0.9342310550763063,48.08844368032527,0.012770750662844617,53.33944378483895,1.004256916887615,609.834803436443,12.758208804743301,735.5032619807363,14.709467527370066
KROTOSZYŃSKI,1.0,0.0,2.0,0.0,0.0,0.0,5.9718224616563145,1.0,24.904805305012133,2.064738219222669,35.282572540391335,2.0,57.00382526769227,6.129476438445338,713.6872771666965,35.9779266667701,839.8503027414487,47.17214132443811
LESZCZYŃSKI,1.019375027900842,0.0,1.0,0.0,0.0,0.0,5.058125083702526,0.0,23.155000223206734,0.019375027900841946,40.561875809124416,2.0,68.77500111603368,2.0,627.626259542088,33.07750011160337,767.1956368020561,37.096875139504206
MIĘDZYCHODZKI,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,10.0,0.0,28.0,1.0,32.0,2.0,292.0,10.0,369.0,13.0
MOGILEŃSKI,2.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,18.0,2.0,50.0,1.0,58.0,3.0,708.0,35.0,844.0,42.0
NOWOTOMYSKI,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,20.0,1.0,60.0,0.0,58.0,9.0,828.0,37.0,976.0,47.0
OBORNICKI,0.025840590408813438,0.0,0.051681180817626876,0.0,1.0466780342410957,0.0,11.255052472563918,1.0466780342410957,18.452595760207522,1.0208374438322823,38.106913097109015,0.051681180817626876,41.01438188615299,0.0,350.40564913856093,13.477611493090176,460.3587921600619,15.59680815198118
