District,Konie (sztuki),Bydło rogate (sztuki),Trzoda chlewna (sztuki),Owce i kozy (sztuki)
DZIAŁDOWSKI,5124.0,13873.0,9213.0,3619.0
DUBIEŃSKI,54465.0,64572.0,50081.0,4281.0
HOROCHOWSKI,37117.0,43559.0,33761.0,3799.0
KOWELSKI,48959.0,101152.0,45661.0,42232.0
KRZEMIENIECKI,58016.0,64085.0,33265.0,17823.0
LUBOMELSKI,16509.0,35601.0,13080.0,19114.0
ŁUCKI,59000.0,91824.0,59513.0,15640.0
RÓWIEŃSKI,51144.0,64753.0,50517.0,14964.0
WŁODZIMIERSKI,35675.0,45596.0,24964.0,6443.0
KOSTOPOLSKI,25992.0,71813.0,34370.0,19361.0
ZDOŁBUNOWSKI,25264.0,30308.0,26572.0,5950.0
SARNEŃSKI,23416.0,79555.0,46668.0,23153.0
OSZMIAŃSKI,19723.08698764892,39204.828276953485,26181.062661789332,30066.33275644755
ŚWIĘCIAŃSKI,28506.0,49700.0,28791.0,48288.0
WILNO (MIASTO),534.0,932.0,385.0,76.0
DZIŚNIEŃSKI,31846.0,55238.0,33492.0,49268.0
WILEJSKI,23554.0,50594.0,33452.0,27993.0
WILEŃSKO-TROCKI,38779.91301235108,78170.17172304651,57653.93733821067,43940.667243552445
POSTAWSKI,23253.0,43013.0,20693.0,37426.0
MOŁODECZAŃSKI,15893.0,31957.0,25749.0,25127.0
