District,Total,1. All types of professional purchasing (total),a. Professional purchasing (agricultural products),b. Professional purchasing (livestock),c. Professional purchasing (plant and animal products),2. Food and colonial goods (exclusively),3. Food products along with non-food items (excluding wine and spirits),"4. Meat, fats, and meat products (exclusively)",5. Catering establishments with and without alcohol,"6. Wine, spirits, and beer (possibly with food and colonial goods)",7. Tobacco monopoly products,8. Textiles,"9. Textiles with clothing, haberdashery, garments, and footwear",10. Ready-made clothing and haberdashery,"11. Garments, garment parts, furs, and fur products",12. Footwear,13. Footwear with leather and shoemaking accessories,14. All types of leather and leather products (excluding footwear),"15. Machinery, tools, and technical goods (excluding agricultural)",16. Building materials and fuels,17. Furniture and all wooden products,"18. Iron, ironware, enameled and aluminum goods (possibly with other goods)","19. Kitchenware, porcelain, faience, glassware, window panes, and mirrors","20. Soap, candles, paints, gasoline, kerosene, mineral oils, lubricants (soap shops)","21. Musical, optical, surgical instruments, photographic equipment and accessories","22. Watchmaking, jewelry, and silver-plated products","23. Electrical equipment, radio equipment, and all lighting accessories",24. Pharmacies,"25. Pharmaceutical warehouses, perfumeries, and cosmetic shops","26. Rubber goods, oilcloth, linoleum, galoshes, tarpaulins, tires, inner tubes, etc.","27. Bookstores, stationery, and paper products (possibly with other goods)","28. Agricultural machinery, tools, and goods",29. Agricultural-commercial syndicates and cooperatives,"30. Banks, exchange offices, and other short- and long-term credit institutions","31. Forwarding, transport, and communication enterprises","32. Other service enterprises (reading rooms, clinics, laundries, bathhouses, garages, dance halls, etc.)","33. Hotels, boarding houses, furnished rooms, lodging houses","34. Theaters, cinemas, and other performances",35. Insurance companies,"36. Offices: commission, trade brokerage, advertising, legal advice, agency, technical, etc.",37. Other enterprises not listed above,38. Cards with no industry/branch specified,ZP. Industrial activities
INOWROCŁAWSKI,367.0,12.0,9.0,3.0,0.0,135.0,13.0,31.0,91.0,4.0,2.0,3.0,9.0,10.0,0.0,3.0,0.0,0.0,3.0,13.0,0.0,1.0,5.0,5.0,0.0,1.0,0.0,3.0,4.0,0.0,2.0,4.0,0.0,5.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
INOWROCŁAW (MIASTO),699.0,29.0,5.0,17.0,5.0,173.0,23.0,42.0,77.0,17.0,7.0,10.0,26.0,55.0,13.0,26.0,3.0,7.0,7.0,16.0,12.0,7.0,9.0,14.0,2.0,6.0,1.0,4.0,11.0,0.0,18.0,10.0,0.0,2.0,22.0,12.0,6.0,4.0,0.0,7.0,11.0,10.0,4.0
SZUBIŃSKI,533.0,46.0,8.0,26.0,9.0,130.0,49.0,40.0,74.0,13.0,4.0,5.0,36.0,22.0,2.0,6.0,4.0,1.0,6.0,8.0,8.0,1.0,13.0,9.0,0.0,3.0,0.0,4.0,6.0,0.0,9.0,3.0,5.0,14.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0
WYRZYSKI,827.0,26.0,6.0,1.0,15.0,236.0,63.0,66.0,111.0,20.0,8.0,9.0,51.0,18.0,4.0,15.0,3.0,2.0,10.0,12.0,6.0,12.0,11.0,10.0,1.0,6.0,4.0,7.0,5.0,0.0,13.0,12.0,15.0,10.0,15.0,19.0,4.0,1.0,1.0,5.0,3.0,13.0,9.0
LIPNOWSKI,923.0,69.0,59.0,1.0,7.0,217.0,110.0,92.0,64.0,22.0,11.0,38.0,36.0,58.0,42.0,31.0,9.0,14.0,1.0,18.0,4.0,12.0,14.0,9.0,0.0,6.0,2.0,6.0,3.0,0.0,8.0,2.0,3.0,2.0,5.0,3.0,0.0,1.0,0.0,6.0,1.0,4.0,5.0
NIESZAWSKI,888.0,41.0,28.0,8.0,4.0,214.0,169.0,98.0,46.0,25.0,6.0,19.0,34.0,60.0,26.0,19.0,9.0,9.0,1.0,28.0,2.0,13.0,5.0,7.0,0.0,3.0,1.0,8.0,5.0,0.0,8.0,2.0,2.0,0.0,9.0,3.0,1.0,2.0,0.0,5.0,4.0,4.0,3.0
RYPIŃSKI,853.6556578901275,61.257697672671185,37.545040509056534,10.868301199990048,11.856328581807325,218.35405138161823,68.17388934539213,104.73090247263137,43.47320479996019,14.820410727259157,1.9760547636345542,31.616876218152868,14.820410727259157,68.17388934539213,50.389396472681135,57.30558814540207,8.892246436355494,6.91619167272094,4.940136909086386,12.844355963624603,4.940136909086386,9.880273818172771,5.928164290903663,5.928164290903663,0.0,3.9521095272691085,0.0,2.9640821454518314,2.9640821454518314,0.0,3.9521095272691085,3.9521095272691085,0.9880273818172771,0.9880273818172771,10.868301199990048,5.928164290903663,0.9880273818172771,1.9760547636345542,0.9880273818172771,3.9521095272691085,5.928164290903663,7.904219054538217,0.9880273818172771
WŁOCŁAWSKI,1817.0,78.0,61.0,4.0,7.0,440.0,159.0,178.0,124.0,38.0,21.0,81.0,48.0,129.0,76.0,69.0,25.0,13.0,7.0,59.0,19.0,37.0,31.0,34.0,2.0,14.0,3.0,12.0,8.0,0.0,28.0,4.0,3.0,6.0,12.0,21.0,5.0,3.0,0.0,8.0,13.0,9.0,11.0
CHODZIESKI,729.0,74.0,8.0,41.0,24.0,197.0,29.0,62.0,114.0,15.0,6.0,35.0,34.0,8.0,4.0,13.0,5.0,2.0,5.0,8.0,2.0,6.0,16.0,7.0,0.0,10.0,1.0,5.0,5.0,0.0,15.0,7.0,1.0,10.0,7.0,0.0,6.0,1.0,0.0,3.0,7.0,9.0,1.0
CZARNKOWSKI,438.0,18.0,1.9269424883862626e-16,8.0,7.000000000000001,129.0,34.0,50.0,65.0,7.0,7.0,1.0000000000000002,25.0,17.0,1.6057854069885523e-16,8.0,3.0,1.0,3.0,9.0,8.0,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.2115708139771045e-17,3.0,0.0,2.0,3.0000000000000004,0.0,8.0,1.0000000000000002,3.0,6.0,5.0,3.2115708139771045e-17,3.0,3.2115708139771045e-17,0.0,0.0,2.0,8.0,6.423141627954209e-17
