District,Indirect Occupation - Total,Indirect Occupation - A. Agriculture and forestry,Indirect Occupation - B. Mining and industry,Indirect Occupation - C. Trade and insurance,Indirect Occupation - D. Transport and communication,"Indirect Occupation - E. Public service, liberal professions",Indirect Occupation - F. Army,Indirect Occupation - G. Domestic service,Indirect Occupation - H. Unemployed,Indirect Occupation - N. Not further specified
SIEDLECKI,65902.12171915638,49979.63437761526,5101.145582580814,2658.197210428564,1968.0239252967579,1735.058134007154,242.93299641726549,1184.115579860127,2011.0282755997519,1021.9856373506868
SOKOŁOWSKI,42834.133190717876,37568.6187081409,2248.675675326213,1001.4467080564182,185.0313234772017,590.7083851880692,16.758697139309728,381.1846153032371,456.76992362248154,384.9391544640486
TOMASZOWSKI,51446.27959781189,45230.4821811842,2568.3710860740407,1699.9362454660286,122.77871884458104,617.8863980877696,18.965818358106013,509.08249277021406,386.30377392563304,292.47288310131904
WĘGROWSKI,43376.99999861383,37859.99999879013,2647.9999999153797,922.9999999705043,248.9999999920429,651.9999999791645,15.999999999488699,355.99999998862353,454.99999998545985,217.99999999303353
WŁODAWSKI,43119.0,37286.0,2280.0,1386.0,199.0,590.0,30.0,423.0,402.0,523.0
ZAMOJSKI,76540.095631773,62728.482659617475,5293.686904575626,2569.9228731650774,697.3502411357632,1169.8356457520886,217.07991417463893,1371.674830808062,1323.6787771870565,1168.3837853572165
LUBLIN (MIASTO),39170.999835700124,1168.000000443482,10784.999953356926,7546.999967272471,3032.9999868349955,4133.999982065373,1262.9999945076174,3704.9999839359252,5318.999976887928,2216.999990395406
BÓBRECKI,47089.0,41931.0,1682.0,941.0,815.0,625.0,19.0,399.0,298.0,379.0
BRZOZOWSKI,50231.0,45906.0,1398.0,728.0,91.0,830.0,12.0,378.0,412.0,476.0
DOBROMILSKI,52837.30493743632,48209.11170708845,1540.42524136851,1086.5734097954182,255.77056022732918,647.9564979336296,13.304008767901824,459.69818320755127,385.4052607410873,239.06006830644083
DROHOBYCKI,91193.27331295397,59662.691237844614,18333.17678527917,3345.6873954681832,1020.2187747830568,2033.8526459707646,37.592784188142126,2509.9560403479177,1768.1920952125995,2481.90555385952
GRÓDECKI,42006.000050952556,37230.00004600614,1515.0000014321258,750.0000008793395,480.00000008701267,517.0000005957806,116.00000001637885,363.0000003286007,275.0000004514421,760.0000011557327
JAROSŁAWSKI,79547.00020298388,67207.00018435043,3185.0000063279435,2237.000004217222,778.0000007851885,1523.0000023935584,336.0000000295501,1241.0000013677477,1302.0000009540463,1738.0000025581946
JAWOROWSKI,48116.94984909915,43445.82993415833,1352.4343098910051,830.4130446826438,82.17662710694495,562.6246517794611,15.466815085774948,310.3142914162681,426.3061285878257,1091.38404639089
KOLBUSZOWSKI,43887.0,40789.0,1015.0,1027.0,50.0,412.0,9.0,217.0,284.0,84.0
KROŚNIEŃSKI,63757.39071297187,53756.18054847399,4524.486853303111,1427.6963299611728,307.2443894344055,1087.1643628533645,40.749489948582315,827.4908190744817,1181.437429807131,604.940490115637
LESKI,58453.0,53295.0,1856.0,1237.0,296.0,611.0,17.0,486.0,270.0,385.0
LWOWSKI,84513.0,64712.0,6980.0,2281.0,2387.0,1875.0,255.0,983.0,2641.0,2399.0
LWÓW (MIASTO),103598.0,1240.0,21053.0,21159.0,8550.0,14865.0,3616.0,11768.0,15859.0,5488.0
ŁAŃCUCKI,55960.0,49256.0,1990.0,1213.0,264.0,797.0,43.0,550.0,890.0,957.0
MOŚCISKI,50264.0,46497.0,1038.0,867.0,392.0,547.0,15.0,371.0,224.0,313.0
NIŻAŃSKI,37764.0,33630.0,1527.0,661.0,134.0,449.0,35.0,242.0,306.0,780.0
PRZEMYSKI,80209.0,56048.0,5373.0,3931.0,2376.0,2757.0,1162.0,2422.0,4230.0,1910.0
PRZEWORSKI,33674.0,29148.0,1361.0,791.0,369.0,455.0,18.0,370.0,310.0,852.0
RAWSKI (RAWA RUSKA),61277.0,54486.0,1890.0,1420.0,600.0,699.0,39.0,501.0,310.0,1332.0
RUDECKI,43624.0,40437.0,932.0,770.0,126.0,496.0,6.0,262.0,119.0,476.0
RZESZOWSKI,106326.60928702813,89343.81945152601,3722.513146696889,3539.3036700388275,1765.7556105655945,2027.8356371466355,418.2505100514177,1762.5091809255182,2224.5625701928693,1522.059509884363
SAMBORSKI,82877.42174960971,72295.19705506694,2370.3979733523174,1737.7391947363983,1035.010664989614,1499.1908560956058,98.10320704395606,1084.345776444531,1715.402644046313,1042.0343778340393
SANOCKI,63783.0,54837.0,2965.0,1529.0,762.0,1098.0,190.0,875.0,1020.0,507.0
SOKALSKI,56351.24002677519,48447.89874621441,2399.9727037002917,1527.8867150468993,276.8054503234318,1037.7724051552316,18.85055038044876,504.99632334991674,716.3209144570528,1420.7362181475064
TARNOBRZESKI,42361.0,37013.0,1921.0,1015.0,624.0,630.0,11.0,394.0,470.0,283.0
ŻÓŁKIEWSKI,55491.99999964607,49137.999999686595,1933.9999999876648,1130.9999999927863,193.99999999876263,795.999999994923,55.999999999642824,424.9999999972893,459.9999999970661,1357.9999999913384
LUBACZOWSKI,49741.04989696441,45166.16983548509,1545.5656823489255,1027.5869502207947,188.82337202085395,586.3753452311997,7.533184868296098,334.68570688738356,240.693870006686,643.6159498951826
TURCZAŃSKI,48074.0,43994.0,1595.0,802.0,176.0,552.0,3.0,293.0,330.0,329.0
BRZEZIŃSKI,59154.0,38782.0,9041.0,2711.0,1990.0,1374.0,96.0,1261.0,2072.0,1827.0
ŁASKI,75604.0,51207.0,17034.0,2341.0,470.0,1180.0,72.0,1188.0,1215.0,897.0
ŁĘCZYCKI,61155.0,46457.0,6964.0,2105.0,547.0,988.0,62.0,1371.0,1510.0,1151.0
ŁÓDZKI,55537.0,33552.0,13705.0,1874.0,916.0,1050.0,115.0,1033.0,1907.0,1385.0
ŁÓDŹ (MIASTO),191656.0,2049.0,110781.0,27879.0,7040.0,10365.0,1459.0,13894.0,13826.0,4363.0
PIOTRKOWSKI,104220.00000677264,78113.00000571515,11873.000000502654,3494.000000153951,2024.000000057561,2084.000000086228,180.00000000553618,1862.000000095935,2496.0000000717428,2094.000000083877
RADOMSZCZAŃSKI,89303.99999322736,75359.99999428485,6627.999999497346,2029.999999846049,758.999999942439,1136.9999999137722,72.99999999446382,1264.999999904065,945.9999999282572,1105.9999999161232
SIERADZKI,80419.13370472103,62675.49986164297,9396.321919059732,2405.719341718009,490.4599613900012,1286.4956053487876,55.22048941608657,1149.527663073276,1587.7440439279308,1372.1448191442223
WIELUŃSKI,95345.0,83190.0,4886.0,2482.0,285.0,1007.0,71.0,962.0,1026.0,1436.0
POŁUDNIOWO-WARSZAWSKI,25104.104219564488,14730.105314196711,3626.8548528247484,1366.5630877556953,956.1165509133884,826.266191985095,650.4458209304631,691.9382344730673,1410.4435538762912,845.3706126090278
PÓŁNOCNO-WARSZAWSKI,24238.170842745563,14222.009517427347,3501.751218675116,1319.4252739995623,923.1365558367404,797.7652159088659,628.0095395467554,668.070726328306,1361.7921405958784,816.21065442699
PRASKO-WARSZAWSKI,27904.73119398378,16373.403554124587,4031.4686739069775,1519.017579353592,1062.7814125534198,918.4448797839107,723.0098963327823,769.1312251947634,1567.793373186047,939.6805995477005
ŚRÓDMIEJSKO-WARSZAWSKI,6851.993743706169,4020.4816142513537,989.9252545931574,372.9940588911502,260.9654806964513,225.52371232212838,177.53474318999918,188.85981400386328,384.97093234178345,230.73813341628164
BARANOWICKI,68837.67844584494,54037.92931926353,2421.5170986803896,1717.6060099892966,960.859593268034,1418.9581013622198,169.20588455663489,684.407869380883,6932.949686078995,494.2448832649508
BRASŁAWSKI,80946.25095763816,74951.62266795726,2196.8953464645606,1210.862435541038,357.36853376765356,766.535095097593,35.79820739182298,490.79670333175955,519.9218396010186,416.450128485465
LIDZKI,62803.61270421647,56357.97670974329,2229.9315174412804,972.3804809156203,650.1327634019186,645.185956142791,339.59546839382955,564.1336948358303,560.9926163070232,483.28349703488834
NIEŚWIESKI,53360.64278616872,47072.90591396721,2139.6048820240803,1265.220219740052,181.43082115034227,879.9794453150961,40.76199065492271,517.9170577331356,884.77497362744,378.04748195644004
NOWOGRÓDZKI,77793.73871575682,73087.75446571453,1614.1366253286772,912.3776754904766,263.7242913163138,621.5603124713599,73.75023271479026,392.88086102107394,555.5706290758973,271.98362262368755
SŁONIMSKI,46184.39946553222,41284.32987619303,1661.9760434429536,728.4347644282565,218.7348544260714,536.2751726894647,50.42485740663328,401.35460827712166,844.9570700570982,457.91221861158874
STOŁPECKI,90657.98817627071,82711.07223427165,2691.310253389559,1365.1163756172525,234.57136770069562,1360.1748484538298,172.6118277099386,587.662394095433,1103.592892295034,431.87598273732044
WOŁOŻYŃSKI,16812.259116186895,15053.572288827148,723.30287372116,325.1969720259311,75.99502193271852,247.27314242973867,28.160591883591344,114.9569367305607,143.1175286140875,100.68376002195873
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),40585.97761423433,36323.86777416515,1475.8453120383285,642.6079388507927,425.6315994773967,427.02822757118366,221.02470897163008,371.18026619434585,375.92025703665826,322.87152992885086
BRZESKI (BRZEŚĆ N.BUG.),66257.99984252907,50847.9998791652,3895.9999907430965,2604.9999938076144,2941.9999929988294,1764.999995803417,525.9999987491825,1057.999997484537,1706.9999959405138,910.999997836674
DROHICKI,38532.52913758114,36054.70379770561,721.4932423399157,498.9579822544369,190.6019492211949,310.35186496225975,79.8332771607099,206.56860465333688,311.34978092676863,158.66863835691092
KOBRYŃSKI,46534.69668494108,41751.03990272269,1274.1595071559302,1015.6623143836878,366.2495487160694,589.3808835955107,43.523459005296324,418.11820599921003,798.3208335481585,278.24202981452487
KOSZYRSKI,40008.883096969024,37976.03243210174,640.8842202193741,390.88671177812114,168.94775813584323,308.3713658762304,54.5265909601397,124.02187838425841,233.33269767653542,111.87944183678214
ŁUNINIECKI,59554.101628803095,53379.126188057235,2340.1096420052386,977.0180671192323,739.1015490516714,691.8835836508559,37.19226303541452,315.83424263113693,505.92984828593853,567.9062449663643
PIŃSKI,61041.31287920031,53612.69926867502,2484.1094431654874,1321.5429553732838,491.5878459171441,1016.5352462230802,90.02780163979243,464.9674806712938,1037.0987635434321,522.7440739917721
PRUŻAŃSKI,38040.00007846055,33707.00006922861,1303.0000024571943,809.0000019561743,239.0000006926454,474.0000011178139,243.00000006786726,304.00000081640337,650.0000015749199,311.00000054892644
STOLIŃSKI,59327.4158118069,53203.333557332364,2261.9874529880976,1061.5961940091977,648.6019450362987,719.5450193496672,44.11925317495696,320.821678843807,557.1718768053955,510.23883426711126
IWACEWICKI,29226.0,26766.0,964.0,400.0,261.0,239.0,17.0,186.0,230.0,163.0
BRODNICKI,28967.65132471524,21594.83668612675,2426.897822671099,750.5985610774292,892.1693955000374,615.2345553096133,96.63810786317185,573.2753972335033,1262.9014452683841,755.0993536652524
CHEŁMIŃSKI,21866.80675401979,15414.642296206815,1909.2271193285549,563.6066630173824,512.2121748302369,638.6771358292432,147.2007056845787,587.559856278952,1581.5855713943502,512.0952314496794
CHOJNICKI,29506.055943302326,20248.073380210248,2751.4227076632405,799.5180086093596,1396.6752824476782,955.0108220707828,51.995050955885745,595.7224478413764,1695.3111857586152,1012.3270577451411
GRUDZIĄDZ (MIASTO),14573.0,219.0,3791.0,1791.0,1253.0,1407.0,1561.0,1037.0,2444.0,1070.0
GRUDZIĄDZKI,19769.791039341384,15736.876356574981,1454.461379702309,296.8288530004712,394.7823744906267,292.87113496046493,191.9493249403047,493.72532549078375,655.0023356210397,253.29395456040209
KARTUSKI,29187.333651532525,25229.248362260263,1284.1527019556413,352.09061135112785,438.1572052369591,446.9594705207373,50.85753275071847,288.51869541272976,887.0727347096472,210.27633733470137
KOŚCIERSKI,21881.992988939386,16818.619644082373,1427.5833638788831,405.21203779539894,515.8512303545593,531.439957538209,35.774141953769536,358.57012597628045,1324.3865378563457,464.55594950356607
LUBAWSKI,26527.0,20694.0,1820.0,528.0,375.0,501.0,19.0,502.0,1519.0,569.0
SĘPOLEŃSKI,13877.0,10711.0,994.0,350.0,195.0,391.0,4.0,248.0,623.0,361.0
STAROGARDZKI,31417.228553311506,20254.948561095072,4350.792833831966,773.6633854646072,777.3758688757159,1003.2198822328693,104.71164630265878,736.301531587717,2847.272464733455,568.9423791874435
ŚWIECKI,40394.12573090479,29711.930426901115,3704.891561653017,891.3253599793145,960.9355108516835,844.0228467968866,239.53935436651798,792.4971790135546,2262.417369528138,986.5661218145591
TCZEWSKI,22909.76173503496,11438.214248969782,3013.8639990771967,963.3078494398078,2633.5553682213817,1049.7642704546638,84.8584059895969,895.0276087280611,2020.7849016180799,810.3850825363913
TORUŃ (MIASTO),17765.88912479931,785.724523118269,4414.172443695524,2149.6852953653365,1442.4169921747227,2460.583141489951,1266.9635703649624,1376.4003724930358,2764.627947798169,1105.3148382993372
TORUŃSKI,23724.3041211809,15666.633180674915,2183.6004369759216,520.7080416172811,1254.37083299504,518.739722680806,190.835723950459,555.039771228012,1584.786480807481,1249.5899302509831
TUCHOLSKI,16291.501396974518,12226.965376481154,1406.292831940056,359.8827473603842,319.4495340120221,342.5827503858512,60.26386768085262,318.3624114402808,1048.7548057957197,208.94707187819753
WĄBRZESKI,20757.557635943376,15653.286957298269,1444.6407976265916,474.57258592209956,407.0482300093359,448.8943097299218,11.412567196523437,407.99927727571287,950.096219110576,959.6066917743456
MORSKI,29696.10975172745,20860.89263055633,3080.6704122587025,593.9351334641066,690.7917809649123,1047.2234321888423,170.70863662712227,559.8218689483086,1977.5933751219086,714.472481597218
GDYNIA (MIASTO),1617.89024827255,1091.1073694436711,182.32958774129733,35.064866535893444,43.208219035087694,61.77656781115773,7.291363372877717,31.178131051691317,121.40662487809152,44.52751840278198
BYDGOSKI,25183.113483481113,19132.729030217986,2462.935287103972,491.7874031067995,653.7174016907458,434.8120332346703,11.99481470992194,503.78221781672147,1040.5501760857283,450.80511951456623
BYDGOSZCZ (MIASTO),38224.88651651889,1726.2709697820142,11513.064712896028,4654.2125968932005,5625.282598309254,3280.1879667653297,937.0051852900781,2457.2177821832784,6296.449823914272,1735.1948804854337
INOWROCŁAWSKI,31808.549391865632,18471.9085943235,4971.201732986434,1292.261526008316,1600.1266692470408,905.2586343508591,261.5406075789795,1118.5445172842703,2187.869215430061,999.8378946561727
INOWROCŁAW (MIASTO),1150.450608134365,668.0914056764994,179.79826701356578,46.73847399168405,57.87333075295905,32.74136564914088,9.459392421020448,40.45548271572952,79.13078456993857,36.16210534382724
SZUBIŃSKI,21793.0,17006.0,1858.0,412.0,255.0,344.0,29.0,412.0,915.0,562.0
WYRZYSKI,27131.0,19885.0,2402.0,716.0,725.0,702.0,16.0,606.0,1005.0,1074.0
LIPNOWSKI,45623.999999703374,38142.99999975201,2380.99999998452,975.9999999936546,421.9999999972564,705.99999999541,32.99999999978545,810.9999999947273,969.9999999936936,1181.9999999923152
NIESZAWSKI,47923.0,37766.0,3423.0,1204.0,829.0,881.0,64.0,1088.0,1173.0,1495.0
RYPIŃSKI,35502.78791084022,29708.00731648189,2188.480650725269,759.7930566174861,151.1681894180434,541.4390052358679,19.760547636345542,629.3734422176055,726.2001256356987,778.5655768720144
WŁOCŁAWSKI,53898.0,30404.0,9183.0,3493.0,1103.0,1825.0,323.0,2515.0,2911.0,2141.0
CHODZIESKI,19926.0,14248.0,2652.0,470.0,335.0,521.0,8.0,350.0,755.0,587.0
CZARNKOWSKI,16713.0,12007.0,1684.0,453.0,330.0,574.0,8.000000000000002,373.0,777.0,507.0
GNIEŹNIEŃSKI,37517.9947636241,21717.11367524793,5122.27289701025,1537.9606702799065,1788.5486490671865,1331.6814465536615,301.37117823057685,1308.5454552130843,3526.047416440039,884.4533755814638
GOSTYŃSKI,26826.235299243417,20245.570202317253,2481.107069801979,545.5012920241377,465.4887863736602,515.0420636591446,27.0448930908255,642.7187551159889,1239.4166042950021,664.3456325654251
JAROCIŃSKI,38417.522174533304,27948.933217478057,3311.024028521713,825.5480914366133,1697.2882397297362,769.6972229757029,96.8947892345372,1099.8500274496755,1898.7174241175605,769.5691335897059
KĘPIŃSKI,46071.0,36370.0,3488.0,1024.0,779.0,806.0,56.0,896.0,1880.0,772.0
KOŚCIAŃSKI,38546.8322385437,28899.046535956433,4203.469550171078,790.4402342846734,543.0657985360795,778.633603818847,44.896246825721946,910.0904329979198,1682.9691807911952,694.2206551617537
KROTOSZYŃSKI,37132.88613143966,26503.887816555514,3864.0488793449917,1050.1724972057875,742.9608744785996,946.6569018069007,126.74412321748532,985.0657970051088,2045.4859335166489,867.8633083086306
LESZCZYŃSKI,26008.965603327808,16000.16354716764,2968.361956163549,1017.4431400385538,1315.9556350164023,873.6756403733639,152.6975010044303,894.2181411545874,2039.7000312489429,746.7500111603367
MIĘDZYCHODZKI,13438.0,9244.0,1527.0,309.0,278.0,413.0,13.0,342.0,787.0,525.0
MOGILEŃSKI,37187.0000002154,25883.00000017004,4572.000000016778,928.0000000037422,699.0000000031341,761.000000003867,156.0000000002183,987.0000000047869,1882.0000000105251,1319.0000000023078
NOWOTOMYSKI,39495.0,27845.0,4271.0,1110.0,1282.0,997.0,51.0,862.0,1798.0,1279.0
OBORNICKI,25596.603780006168,18517.75928052132,2636.308827533843,622.0265994197384,538.4711873256438,562.4310565969319,36.52357356635943,715.1750230584445,1353.5788886120256,614.3293433718623
