District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,RazemR,RazemPR,Handel jarmarczny - hurtR,Handel jarmarczny - hurtPR,Handel jarmarczny - detalR,Handel jarmarczny - detalPR,Karty rejestracyjneR,Karty rejestracyjnePR
JAWOROWSKI,0.0,0.0,4.833244889133821,0.9666489778267643,0.0,0.0,0.0,0.0,4.833244889133821,0.9666489778267643,0.0,0.0,0.0,0.0,14.50084408539437,6.163433293919653e-05
KOLBUSZOWSKI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
KROŚNIEŃSKI,0.0,0.0,4.232033560410496,0.0,1.4106778534701654,0.0,0.0,0.0,5.6427114138806616,0.0,0.0,0.0,0.0,0.0,67.74948994858232,6.0
LESKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
LWOWSKI,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
LWÓW (MIASTO),0.0,0.0,118.0,10.0,4.0,0.0,6.0,0.0,128.0,10.0,0.0,0.0,0.0,0.0,574.0,0.0
ŁAŃCUCKI,0.0,0.0,2.0,0.0,1.8723676771034638e-16,0.0,0.0,0.0,2.0000000000000004,0.0,0.0,0.0,0.0,0.0,13.0,4.85428657026824e-17
MOŚCISKI,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIŻAŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRZEMYSKI,0.0,0.0,17.0,1.0,3.0,0.0,5.0,0.0,25.0,1.0,0.0,0.0,7.0,0.0,80.0,2.0
PRZEWORSKI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
RAWSKI (RAWA RUSKA),0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0
RUDECKI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
RZESZOWSKI,0.0,0.0,25.767966439589504,0.0,27.589322146529835,0.0,0.0,0.0,53.35728858611934,0.0,0.0,0.0,0.0,0.0,41.250510051417685,7.0
SAMBORSKI,0.0,0.0,6.684808928264755,0.0,3.819890816151289,0.0,0.0,0.0,10.504699744416044,0.0,0.0,0.0,0.695991232098188,0.0,70.50607373135742,0.9549727040378222
SANOCKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
SOKALSKI,0.0,0.0,5.952805383299608,0.9921342305499347,1.9842684610998693,0.0,0.0,0.0,7.937073844399477,0.9921342305499347,0.0,0.0,0.0,0.0,16.86628191934889,0.0
TARNOBRZESKI,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
ŻÓŁKIEWSKI,0.0,0.0,0.9999999999936219,0.0,0.9999999999936219,0.0,0.0,0.0,1.9999999999872438,0.0,0.0,0.0,0.0,0.0,12.999999999917085,0.0
LUBACZOWSKI,0.0,0.0,0.1667551057477878,0.033351021149557555,0.0,0.0,0.0,0.0,0.1667551057477878,0.033351021149557555,0.0,0.0,0.0,0.0,18.499155899250457,0.9999383656670607
TURCZAŃSKI,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
BRZEZIŃSKI,0.0,0.0,18.0,0.0,0.0,1.0,4.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,47.0,0.0
ŁASKI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŁĘCZYCKI,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŁÓDZKI,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŁÓDŹ (MIASTO),0.0,0.0,125.0,14.0,8.0,6.0,0.0,0.0,133.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
PIOTRKOWSKI,0.0,0.0,1.000000000075838,0.0,7.583796630850325e-11,0.0,0.0,0.0,1.000000000151676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADOMSZCZAŃSKI,0.0,0.0,0.999999999924162,0.0,0.999999999924162,0.0,0.0,0.0,1.999999999848324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIERADZKI,0.0,0.0,5.026218964722226,1.0116802017149757,3.0071819374754982,0.9974311327852471,0.004962846373252261,0.004962846373252261,8.038363748570976,2.014074180873475,0.0,0.0,0.0,0.0,0.23325377954285625,0.029777078239513564
WIELUŃSKI,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POŁUDNIOWO-WARSZAWSKI,0.8955197167468515,0.0,151.34283213021791,8.358184022970613,7.761170878472713,0.8955197167468515,25.671565213409743,3.2835722947384554,185.67108793884722,12.537276034455921,0.0,0.0,0.0,0.0,657.01296551994,12.537276034455921
PÓŁNOCNO-WARSZAWSKI,0.8646299305370657,0.0,146.1224582607641,8.06987935167928,7.493459397987903,0.8646299305370657,24.786058008729217,3.170309745302574,179.2666055980183,12.10481902751892,0.0,0.0,0.0,0.0,634.3501590373605,12.10481902751892
PRASKO-WARSZAWSKI,0.9954243639276488,0.0,168.22671750377265,9.290627396658056,8.627011154039623,0.9954243639276488,28.5354984325926,3.649889334401379,206.38465145433253,13.935941094987083,0.0,0.0,0.0,0.0,730.309675001585,13.935941094987083
ŚRÓDMIEJSKO-WARSZAWSKI,0.24442598878843394,0.0,41.30799210524533,2.28130922869205,2.118358569499761,0.24442598878843394,7.00687834526844,0.8962286255575911,50.67765500880197,3.421963843038075,0.0,0.0,0.0,0.0,179.32720044111437,3.421963843038075
BARANOWICKI,0.0,0.0,3.9984569119749245,0.9996142279937311,2.325717013033633,0.9996142279937311,0.0,0.0,6.324173925008558,1.9992284559874622,0.0,0.0,0.0,0.0,31.108469663011412,10.493430824327275
LIDZKI,0.0,0.0,0.6130802450577395,0.57868645679922,0.004299223532314935,0.0,0.0,0.0,0.6173794685900544,0.57868645679922,0.0,0.0,0.0,0.0,19.060550566052445,8.370752757661627
NIEŚWIESKI,0.0,0.0,4.795528312343848,0.7992547187239747,0.0,0.0,0.0,0.0,4.795528312343848,0.7992547187239747,0.0,0.0,0.0,0.0,37.56497178002681,0.7992547187239747
NOWOGRÓDZKI,0.0,0.0,11.86758406996415,4.49895772709103,2.2069074063220033,0.0,0.0,0.0,14.074491476286154,4.49895772709103,0.0,0.0,0.0,0.0,33.98170524465693,3.2425767739163627
SŁONIMSKI,0.0,0.0,0.0,0.0,5.451335935852247,0.0,0.0,0.0,5.451335935852247,0.0,0.0,0.0,0.0,0.0,37.477934558984195,2.0442509759445926
STOŁPECKI,0.0,0.0,5.573596838433808,0.680677208508164,2.120931391060771,0.0003857720062689627,0.0,0.0,7.694528229494582,0.681062980514433,0.0,0.0,0.0,0.0,48.41632262087643,2.053117055824332
WOŁOŻYŃSKI,0.0,0.0,5.596525753313926e-11,2.1525099051207408e-11,0.3857615326525849,0.0,0.0,0.0,0.3857615327085502,2.1525099051207408e-11,0.0,0.0,0.0,0.0,10.801322914268074,1.2915059430724445e-11
