District,Polish,% Polish,Ukrainian,% Ukrainian,Ruthenian,% Ruthenian,Belarusian,% Belarusian,Russian,% Russian,German,% German,Jewish,% Jewish,Hebrew,% Hebrew,Other and unknown: total,% Other: total,Minorities total (excluding Polish nationality),% Minorities total
DUBIEŃSKI,33987.0,0.149914648,157639.0,0.695336312,534.0,0.002355442,107.0,0.000471971,2751.0,0.012134498,2789.0,0.012302114,15698.0,0.06924295,1732.0,0.00763975,11472.0,0.050602314,192722.0,0.850085352
HOROCHOWSKI,21100.0,0.17288705,83119.0,0.681052071,1105.0,0.009054037,15.0,0.000122905,403.0,0.003302061,4977.0,0.04078004,7520.0,0.061616617,2473.0,0.020263018,1333.0,0.010922201,100945.0,0.82711295
KOWELSKI,36720.0,0.143946373,182807.0,0.716623219,2433.0,0.009537623,237.0,0.000929066,3120.0,0.012230738,1813.0,0.007107156,22825.0,0.08947647,3651.0,0.014312315,1489.0,0.005837041,218375.0,0.856053627
KRZEMIENIECKI,25758.0,0.105986043,195817.0,0.0,183.0,0.805725172,56.0,0.000752987,1754.0,0.007217157,118.0,0.000485533,13881.0,0.057115935,4798.0,0.019742256,667.0,0.002744495,217274.0,0.894013957
LUBOMELSKI,12150.0,0.14209363,65741.0,0.768837639,165.0,0.001929667,114.0,0.001333224,371.0,0.004338826,8.0,9.35596e-05,6765.0,0.07911633,53.0,0.000619832,140.0,0.001637293,73357.0,0.85790637
ŁUCKI,56446.0,0.194102577,171793.0,0.590749815,245.0,0.000842489,220.0,0.000756521,3909.0,0.013441997,17619.0,0.060586991,29887.0,0.102773336,4255.0,0.014631798,6431.0,0.022114475,234359.0,0.805897423
RÓWIEŃSKI,36990.0,0.146328727,160371.0,0.63441158,113.0,0.000447017,140.0,0.000553826,4093.0,0.016191497,7458.0,0.029503099,33149.0,0.131134117,4335.0,0.017148825,6138.0,0.024281312,215797.0,0.853671273
WŁODZIMIERSKI,40286.0,0.267905356,87212.0,0.579967282,962.0,0.006397383,77.0,0.000512057,1228.0,0.008166305,2778.0,0.018473938,14446.0,0.096067139,2790.0,0.018553739,595.0,0.003956801,110088.0,0.732094644
KOSTOPOLSKI,34951.0,0.218988484,103980.0,0.651495595,1366.0,0.00855879,212.0,0.001328304,588.0,0.003684164,7545.0,0.047273844,6884.0,0.043132292,3597.0,0.022537312,479.0,0.003001216,124651.0,0.781011516
ZDOŁBUNOWSKI,17826.0,0.150641405,81561.0,0.689244004,89.0,0.000752108,56.0,0.000473237,2405.0,0.020323829,856.0,0.007233762,9694.0,0.081920665,1093.0,0.009236568,4754.0,0.040174422,100508.0,0.849358595
SARNEŃSKI,30426.0,0.167836102,128284.0,0.707641049,1353.0,0.007463428,1183.0,0.006525672,2765.0,0.015252311,922.0,0.005085942,13408.0,0.073961298,2611.0,0.014402815,332.0,0.001831381,150858.0,0.832163898
OSZMIAŃSKI,84026.87877070026,0.8032240924511854,18.793312575994456,0.0001796482422790746,56.37993772798337,0.0005389437377155093,10038.596280724618,0.09596027518351781,905.046368791312,0.008651458912125324,9.89121714526024,9.455143054977152e-05,5384.778613879675,0.05147381390507541,1263.1084294497327,0.012074221627801463,1770.527869001583,0.016924711310754192,19447.12202929616,0.1858976220748386
ŚWIĘCIAŃSKI,68441.0,0.501491116,27.0,0.000197838,242.0,0.001773219,8062.0,0.05907309,8752.0,0.064128961,105.0,0.000769372,6594.0,0.048316541,1060.0,0.00776699,43192.0,0.316482872,68034.0,0.498508884
WILNO (MIASTO),128628.0,0.0,143.0,0.0,70.0,0.0,1737.0,0.0,7372.0,0.0,561.0,0.0,47523.0,0.0,7073.0,0.0,0.0,0.0,0.0,0.0
DZIŚNIEŃSKI,62282.0,0.389540047,82.0,0.000512865,109.0,0.000681736,79984.0,0.500256433,5067.0,0.03169133,200.0,0.001250891,10955.0,0.068517569,807.0,0.005047346,400.0,0.002501783,97604.0,0.610459953
WILEJSKI,59477.0,0.453780423,17.0,0.000129702,46.0,0.000350958,64337.0,0.490859846,883.0,0.006736858,128.0,0.000976577,4698.0,0.035843442,1236.0,0.009430076,248.0,0.001892119,71593.0,0.546219577
WILEŃSKO-TROCKI,181470.12122929972,0.8506499785488145,20.206687424005544,9.522805772092541e-05,151.62006227201664,0.0007099822622844907,5659.403719275382,0.026928204816482195,3723.953631208688,0.017412094087874676,171.10878285473976,0.0007983468694502285,6161.221386120325,0.029017371094924586,419.89157055026726,0.0020258123721985355,17832.472130998416,0.08324126768924582,34139.87797070384,0.16022830692516138
POSTAWSKI,47917.0,0.479616043,17.0,0.000170158,27.0,0.000270251,47707.0,0.477514088,1364.0,0.013652697,3.0,3.00279e-05,2195.0,0.021970433,488.0,0.004884543,189.0,0.001891759,51990.0,0.520383957
MOŁODECZAŃSKI,35523.0,0.38914389,23.0,0.000251958,32.0,0.00035055,49012.0,0.536911869,735.0,0.008051706,65.0,0.000712056,4822.0,0.052823575,967.0,0.010593197,106.0,0.001161198,55762.0,0.61085611
