District,Roman Catholic,% Roman Catholic,Greek Catholic,% Greek Catholic,Evangelical,% Evangelical,Orthodox,% Orthodox,Mosaic (Jewish),% Mosaic (Jewish),Other Christian denominations,% Other Christian,Other or unknown,% Other
SANOCKI,41558.0,0.406765394,51285.0,0.501972261,26.0,0.000254485,20.0,0.000195758,9268.0,0.090714223,0.0,0.0,10.0,9.7879e-05
SOKALSKI,21193.971433007704,0.2132791074469302,64165.28922658647,0.6457079383322972,252.99422879023334,0.0025459305310276455,126.0010472798417,0.0012679733421328107,12851.114688313304,0.12932329705078466,0.9921342305499347,9.984045188870103e-06,0.0,0.0
TARNOBRZESKI,65240.0,0.912549656,105.0,0.001468696,25.0,0.000349689,17.0,0.000237789,6105.0,0.08539417,0.0,0.0,0.0,0.0
ŻÓŁKIEWSKI,16457.99999989503,0.18173385899884087,65885.99999957977,0.7275317189953597,357.99999999771666,0.0039531369999747865,31.9999999997959,0.00035335299999774626,7822.999999950104,0.08638376299944904,2.9999999999808655,3.312679999978872e-05,0.9999999999936219,1.104229999992957e-05
LUBACZOWSKI,29933.44602248681,0.36790833885939983,44959.8868678268,0.5527235246483702,166.52930706395955,0.002047480007441011,36.498046328173984,0.00044859574469093455,8955.887491921789,0.11008110718168135,6.533246506881358,8.033618935662563e-05,0.0,0.0
TURCZAŃSKI,4432.0,0.057825038,62559.0,0.816217627,38.0,0.000495792,8.0,0.000104377,9608.0,0.125357166,0.0,0.0,0.0,0.0
BRZEZIŃSKI,81652.0,0.65046324,23.0,0.000183225,14688.0,0.117008819,205.0,0.001633089,21820.0,0.173824375,7130.0,0.056799624,11.0,8.76292e-05
ŁASKI,119131.0,0.797374903,14.0,9.37057e-05,14064.0,0.094134026,143.0,0.000957136,15453.0,0.103430966,574.0,0.003841932,25.0,0.000167332
ŁĘCZYCKI,101261.0,0.827147081,4.0,3.26739e-05,6328.0,0.051690056,106.0,0.000865857,12892.0,0.10530787,1802.0,0.014719577,29.0,0.000236886
ŁÓDZKI,75689.0,0.690378897,9.0,8.20913e-05,22150.0,0.202035865,142.0,0.001295219,9517.0,0.086807012,2099.0,0.019145521,28.0,0.000255395
ŁÓDŹ (MIASTO),241842.0,0.535079451,104.0,0.000230102,48988.0,0.108386766,1741.0,0.003851991,156155.0,0.345495537,2166.0,0.004792311,978.0,0.002163841
PIOTRKOWSKI,163294.0000116054,0.8277061100683286,9.00000000113757,4.561930000669761e-05,11678.00000025982,0.05919355200152974,353.00000000765965,0.0017892900000450972,21776.000001000986,0.11037838700589345,115.0000000050053,0.0005829130000294695,60.00000000083422,0.0003041290000049116
RADOMSZCZAŃSKI,153028.9999883946,0.9009814719316713,14.99999999886243,8.831479999330238e-05,3425.999999740179,0.020171094998470265,100.99999999234036,0.0005946529999549027,13198.999998999014,0.07771111599410654,65.9999999949947,0.00038858499997053046,10.999999999165782,6.476419999508842e-05
SIERADZKI,134492.5930123465,0.8660043011605926,12.126705736986983,7.791969427842683e-05,5548.338309540274,0.03571871153602355,101.51904483883558,0.000649962632953176,15926.564990659344,0.10245788107291592,239.91485787989552,0.001543977387069386,41.16267014835075,0.0002646015644885238
WIELUŃSKI,163895.0,0.903694841,14.0,7.71941e-05,2159.0,0.011904434,161.0,0.000887732,15112.0,0.083325522,9.0,4.96248e-05,11.0,6.06525e-05
POŁUDNIOWO-WARSZAWSKI,44872.701966751236,0.2470623645117018,11.044743173211168,6.08105648722672e-05,2137.6055638747343,0.011769335638635692,440.8942072116999,0.00242749723644858,6501.473143582142,0.035796135609085164,219.99934374747653,0.0012112832524440859,32.53721637513561,0.00017914513725634065
PÓŁNOCNO-WARSZAWSKI,43324.87655935129,0.23854027004797043,10.663769143290477,5.8712983643096286e-05,2063.8716441919755,0.011363367735405886,425.686135801082,0.0023437638811058975,6277.213295699096,0.0345613945359149,212.41075293527246,0.0011695016143541802,31.414887476180052,0.00017296575908421781
PRASKO-WARSZAWSKI,49878.72402768663,0.27462477089607457,12.276900488441003,6.75946232406283e-05,2376.077956695298,0.013082328867642023,490.0805951737124,0.0026983100956235297,7226.78088211473,0.03978957118798327,244.5425854048924,0.001346414644537872,36.16708522270457,0.00019913066230627043
ŚRÓDMIEJSKO-WARSZAWSKI,12247.697446210848,0.06743398454425321,3.0145871950573517,1.6597828244008202e-05,583.4448352379918,0.0032123597583163964,120.33906181350564,0.0006625687868219917,1774.5326786040305,0.009770310667016672,60.04731791235861,0.0003306114886638613,8.880810925979766,4.889644135317105e-05
BARANOWICKI,31666.48274191193,0.30010989461421705,181.0959381149953,0.0017384517778392848,210.38101644857687,0.0020123751695848074,76971.30246122301,0.7263496641759135,13916.764450679799,0.13109180267682155,258.56352221490255,0.002481687992203268,169.74804460802352,0.0015931997801292136
BRASŁAWSKI,77924.7872785957,0.9632087322372879,4.234131108331439,5.4819300820732166e-05,67.01172250449773,0.0007211198930306825,38474.15829632748,0.24915112634519926,8366.837173538506,0.0860782384907281,9470.499136043618,0.11019061223165257,183.7450377917362,0.0019723875476899393
LIDZKI,75623.96068101941,0.392426207557766,0.02579534119388961,2.1752781306453875e-07,44.75149529583654,0.0002322189587763027,23119.355892926593,0.12025904307739751,9249.464853085678,0.04796681001808067,12.279683578689774,6.3632994761178e-05,103.58234011033953,0.0005414325319261317
NIEŚWIESKI,14988.423740230697,0.1314243706795065,0.7992547187239747,7.0081770831121125e-06,25.57615099916719,0.00022426208227204131,66316.56177668435,0.5814895902355816,9453.584813067173,0.08289273458808481,0.7992547187239747,7.0081770831121125e-06,366.0586611755804,0.003209745407782141
NOWOGRÓDZKI,66989.02914738964,0.5662748171948548,5.593815543928964,4.725668420641897e-05,46.56814028387896,0.00039773884716935254,52974.91116850455,0.45354732991923935,8383.28931687864,0.07152403203094816,5.91409930167423,5.1080245550840964e-05,390.855852693988,0.003327354949255656
SŁONIMSKI,16197.281899400989,0.13945021504342414,0.6814169919815308,5.86664596412515e-06,30.66376463916889,0.0002639993409524285,52326.692231253735,0.4505057399184163,10437.945483173089,0.08986530901762486,2.7256679679261233,2.346657022816076e-05,151.27457221989985,0.0013023957038592598
STOŁPECKI,36899.46760548555,0.41067956677515305,1.626543298823702,1.493267918518041e-05,67.96470245860317,0.0006765255536132975,99510.76869383908,1.00825283578215,11227.150772040226,0.11662463037720497,16.999464714257407,0.00017090214573698927,471.77621118267984,0.004489946673951235
WOŁOŻYŃSKI,13871.984714332735,0.1876113702608823,2.583011886144889e-11,2.1782108733878822e-16,5.014899924604144,6.782382114864373e-05,12436.180289695876,0.16819286302412992,2206.5559667756056,0.029842520652656086,1.1572845979663646,1.5651656968933237e-05,2.3145691975083666,3.1303352527306834e-05
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),48646.97932130735,0.2524548006053758,0.13475566991111304,8.957280303028478e-07,30.854851431339004,0.0001631339279197411,15079.383313776758,0.07864040122507233,6127.900507265155,0.03205151157913121,8.022659423712723,4.178825505558236e-05,66.59241406018698,0.0003466601787873599
BRZESKI (BRZEŚĆ N.BUG.),17464.999958773482,0.14956368264980568,28.99999993833152,0.00024834499953247096,2149.999994882426,0.018411789956189435,73265.99982562655,0.6274224335073736,23839.999943333652,0.2041567825155293,6.9999999833401185,5.994539985739432e-05,15.999999962019423,0.00013701799967570825
DROHICKI,1636.582181794553,0.02589856575214315,0.9979159645088738,1.579182055516003e-05,27.941647006248466,0.0004421705763780949,54271.6597298151,0.8588375072574211,7103.165835374163,0.1124060934896057,19.958319290177474,0.0003158364111032005,0.0,0.0
KOBRYŃSKI,3938.598762851332,0.06171041841018447,34.01313381389451,0.0005293370946525835,79.94374480704691,0.0013053588022280465,61855.89031398503,0.9768741621042838,10403.658814618031,0.16205737761915404,3.4315211603858295,5.700807694223199e-05,6.000000026120732,9.30998001404149e-05
KOSZYRSKI,2584.763223711372,0.0335790004858895,4.709325883389679,7.323426607227777e-05,186.29657524308482,0.002969467471257604,59301.90260930868,0.8554426660154401,4693.9594066302725,0.04954596876855667,19.971898449383158,0.0002381918366577051,2.31187102113278,1.664778322317715e-05
ŁUNINIECKI,6243.424759093786,0.034778970851651804,5.313034769261839,2.9596183238547094e-05,243.80824936384872,0.0013581300088425087,89757.53995800768,0.49999406632437654,9692.307405851096,0.05399115686699666,14.168813434908555,7.892822713696703e-05,20.07142919403184,0.00011180762648467402
PIŃSKI,5628.873658030115,0.04056316890338448,3.8097568660208863,2.7452183804397996e-05,112.00393421132648,0.0008070473616424927,83732.88176688284,0.6039405123161896,16340.612192805234,0.11779718455793887,54.87216946945106,0.00039549546152401686,12.184553057695231,8.774096656846337e-05
PRUŻAŃSKI,9831.00000709213,0.15267187411004593,1.0000000658711754,1.5529601022099077e-05,32.00000007585166,0.0004969480011769622,45194.00010143762,0.7018464755739696,9281.00001995697,0.14413057330966486,49.0000000019961,0.0007609520000309726,5.000000011976577,7.764820018583616e-05
STOLIŃSKI,6720.965531537482,0.04071749760903391,5.402116118471314,3.243631355949834e-05,277.3983370693304,0.0016873695092799604,87179.54916833396,0.5209219954411934,10586.927153728107,0.06459861309426379,17.593504940258924,0.00011029739908879495,15.805731750850216,9.097004868180544e-05
IWACEWICKI,2738.0,0.056045688,0.0,0.0,31.0,0.000634557,40351.0,0.825967699,5715.0,0.116983604,1.0,2.04696e-05,17.0,0.000347983
BRODNICKI,51478.84591609457,0.8504188624248481,10.96571312520228,0.00018410340213154662,12279.932379945787,0.20596936674765973,16.57786853846011,0.0002845632273200998,148.21859035248235,0.0024786084714469047,9.62971476347028,0.00016055069436706165,1.4784431071895503,2.7168847083479314e-05
CHEŁMIŃSKI,32095.96658839261,0.6828301202840803,14.921886508107423,0.00031472391659405027,14110.995697122517,0.3005312405170505,14.098277331540299,0.000296744323122708,125.16201723869892,0.0026681508380181594,16.714442430575254,0.00035606085493052384,15.610169140670115,0.00033286666256541797
CHOJNICKI,65106.13985477283,0.9175459300530068,25.733294127121585,0.0003624893676087353,5221.8863580094985,0.07362671574723953,8.125949320980762,0.00011487530363434461,159.93838797709168,0.0022560401380795725,4.984248712097966,7.028126171470702e-05,10.928160477841365,0.00015402265617359942
GRUDZIĄDZ (MIASTO),25997.0,0.775659387,65.0,0.001939372,6907.0,0.206080678,105.0,0.003132832,297.0,0.008861439,128.0,0.003819071,17.0,0.00050722
GRUDZIĄDZKI,25954.7149063612,0.5964544393270669,7.915436080012565,0.00018190166826623875,16939.033211226888,0.38926883197533646,53.42919354008482,0.001227833539865959,60.35520011009581,0.0013869971285628518,3.9577180400062826,9.095063624721738e-05,35.619462360056545,0.0008185560230538094
KARTUSKI,56652.357395872445,0.8765508412754994,8.802265283778196,0.00013619256058852017,6487.269514144531,0.10037396116506576,7.824235807802841,0.00012106048853622948,45.96738537084169,0.0007112279250766581,7.824235807802841,0.00012106048853622948,0.9780294759753552,1.5132561067028685e-05
