Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso;Kukurydza;Mieszanki na ziarno: Jęczmień;Mieszanki na ziarno: Inne mieszanki zbóż;Groch;Fasola, bób, soczewica;Len;Konopie;Rzepak i rzepik;Chmiel;Tytoń
KRAKOWSKIE;CHRZANOWSKI; 1 706 ; 10 797 ; 1 064 ; 3 858 ; 8 525 ; -   ; 1 ; 46 ; 5 ; 48 ; 25 ; 36 ; 64 ; -   ; -   ; -   ; -   ; -   
KRAKOWSKIE;DĄBROWSKI; 7 800 ; 10 858 ; 3 494 ; 5 597 ; 6 063 ; 44 ; 10 ; 504 ; 263 ; 62 ; 122 ; 106 ; 158 ; 10 ; 23 ; 45 ; -   ; -   
KRAKOWSKIE;GORLICKI; 7 204 ; 9 017 ; 4 378 ; 12 908 ; 7 607 ; -   ; 4 ; 4 ; 2 ; 498 ; 125 ; 87 ; 167 ; 189 ; 2 ; 2 ; -   ; -   
KRAKOWSKIE;JASIELSKI; 9 449 ; 11 167 ; 4 800 ; 8 623 ; 8 885 ; 15 ; 59 ; 123 ; 16 ; 490 ; 88 ; 144 ; 419 ; 53 ; 35 ; 5 ; -   ; -   
KRAKOWSKIE;KRAKOWSKI; 9 901 ; 15 428 ; 2 681 ; 9 735 ; 9 491 ; 90 ; 23 ; 51 ; 7 ; 111 ; 182 ; 106 ; 63 ; 1 ; -   ; 49 ; -   ; -   
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;;;;;;;;;;;;;
KRAKOWSKIE;LIMANOWSKI; 5 513 ; 6 129 ; 3 985 ; 10 156 ; 6 426 ; -   ; -   ; -   ; -   ; 260 ; 126 ; 81 ; 29 ; 92 ; 20 ; -   ; -   ; -   
KRAKOWSKIE;MIELECKI; 7 326 ; 13 450 ; 3 455 ; 7 601 ; 9 013 ; 3 ; 86 ; 325 ; 11 ; 304 ; 146 ; 74 ; 62 ; 24 ; 12 ; 13 ; -   ; -   
KRAKOWSKIE;MYŚLENICKI; 6 331 ; 9 261 ; 3 619 ; 13 639 ; 8 864 ; -   ; -   ; 11 ; 3 ; 121 ; 97 ; 86 ; 59 ; 77 ; 1 ; 2 ; -   ; -   
KRAKOWSKIE;NOWOSĄDECKI; 6 984 ; 9 906 ; 8 213 ; 18 990 ; 11 221 ; -   ; 2 ; 8 ; 6 ; 1 159 ; 52 ; 261 ; 235 ; 320 ; 95 ; 7 ; -   ; -   
KRAKOWSKIE;NOWOTARSKI; 324 ; 4 229 ; 7 429 ; 33 891 ; 12 961 ; -   ; 5 ; -   ; -   ; 393 ; 4 ; 234 ; 69 ; 510 ; 26 ; -   ; -   ; -   
