region,district,territory_date,centroid_lon,centroid_lat
łódzkie,słupecki,20.02.1921,430471.92099633015,490243.68081566546
warszawskie,sochaczewski,20.02.1921,588701.5916045381,491477.8417137615
lwowskie,sokalski,20.02.1921,871704.8559643739,297959.11998736847
lubelskie,sokołowski,20.02.1921,724446.6795949257,517877.53501116333
białostockie,sokólski,20.02.1921,794905.8402184647,631357.4946624101
krakowskie,spisko-orawski,20.02.1921,561157.130645785,179250.6454440109
stanisławowskie,stanisławowski,20.02.1921,917427.563936867,142097.5183530665
pomorskie,starogardzki,20.02.1921,461918.53152962896,665790.3008467263
lwowskie,starosamborski,20.02.1921,785094.9139159729,177776.87886209192
nowogródzkie,stołpecki,20.02.1921,1012949.4581726522,685370.5187390252
kieleckie,stopnicki,20.02.1921,635299.2823764877,294834.77630723064
stanisławowskie,stryjski,20.02.1921,852795.7987959842,163720.99024303927
poznańskie,strzeleński,20.02.1921,450667.1251435953,528204.8779617702
lwowskie,strzyżowski,20.02.1921,697473.588057399,225593.16762040224
białostockie,suwalski,20.02.1921,754056.7462470424,708866.0057624597
poznańskie,szamotulski,20.02.1921,324130.41587215295,529630.8915449642
białostockie,szczuczyński (woj. białostockie),20.02.1921,730525.7947671626,638728.9222334343
poznańskie,szubiński,20.02.1921,413790.66452813166,569669.8872110471
poznańskie,śmigielski,20.02.1921,326096.33033547056,469496.5236464163
stanisławowskie,śniatyński,20.02.1921,974013.4583994115,86745.07532113767
poznańskie,średzki,20.02.1921,383687.90899634804,490174.2484282037
poznańskie,śremski,20.02.1921,365615.05786744657,475636.4331173165
pomorskie,świecki,20.02.1921,459295.7108052725,627149.7931919447
wileńskie,święciański,14.04.1922,970696.838717587,817930.1287196288
śląskie,świętochłowicki,23.06.1922,494867.14998367423,273702.7020166328
lwowskie,tarnobrzeski,20.02.1921,700839.5420287263,305007.99031600246
śląskie,tarnogórski,23.06.1922,492325.383834784,289317.0428883648
tarnopolskie,tarnopolski,20.02.1921,975456.6768437127,205759.72212812814
krakowskie,tarnowski,20.02.1921,644052.0135476143,235534.00271568634
pomorskie,tczewski,20.02.1921,480699.30933963635,686743.8633282183
